,symbol,name
8,SH600166,福田汽车
9,SH600583,海油工程
10,SH600478,科力远
11,SH600888,新疆众和
12,SH600252,中恒集团
13,SH603919,金徽酒
14,SH600868,梅雁吉祥
15,SH603737,三棵树
16,SH603936,博敏电子
17,SH600011,华能国际
18,SH603739,蔚蓝生物
19,SH603929,亚翔集成
20,SH600167,联美控股
21,SH600824,益民集团
22,SH603020,爱普股份
23,SH600985,淮北矿业
24,SH601577,长沙银行
25,SH603121,华培动力
26,SH603899,晨光文具
27,SH603327,福蓉科技
28,SH603811,诚意药业
29,SH600589,广东榕泰
30,SH600577,精达股份
31,SH600022,山东钢铁
32,SH603528,多伦科技
33,SH600880,博瑞传播
34,SH601399,ST国重装
35,SH603989,艾华集团
36,SH600317,营口港
37,SH603867,新化股份
38,SH603669,灵康药业
39,SH600510,黑牡丹
40,SH603916,苏博特
41,SH603693,江苏新能
42,SH600528,中铁工业
43,SH603505,金石资源
44,SH600512,腾达建设
45,SH600858,银座股份
46,SH600088,中视传媒
47,SH603377,东方时尚
48,SH603668,天马科技
49,SH603516,淳中科技
50,SH603722,阿科力
51,SH603018,中设集团
52,SH600657,信达地产
53,SH600990,四创电子
54,SH600795,国电电力
55,SH603856,东宏股份
56,SH600518,ST康美
57,SH600571,信雅达
58,SH600748,上实发展
59,SH605288,凯迪股份
60,SH603607,京华激光
61,SH603903,中持股份
62,SH603906,龙蟠科技
63,SH603530,神马电力
64,SH603322,超讯通信
65,SH601311,骆驼股份
66,SH603660,苏州科达
67,SH601163,三角轮胎
68,SH603982,泉峰汽车
69,SH601330,绿色动力
70,SH603583,捷昌驱动
71,SH600327,大东方
72,SH600869,智慧能源
73,SH603816,顾家家居
74,SH600557,康缘药业
75,SH603863,松炀资源
76,SH600531,豫光金铅
77,SH600170,上海建工
78,SH600455,博通股份
79,SH603111,康尼机电
80,SH600242,*ST中昌
81,SH600168,武汉控股
82,SH603399,吉翔股份
83,SH601512,中新集团
84,SH603158,腾龙股份
85,SH600538,国发股份
86,SH601666,平煤股份
87,SH600596,新安股份
88,SH601028,玉龙股份
89,SH600825,新华传媒
0,SH603458,勘设股份
1,SH600237,铜峰电子
2,SH603661,恒林股份
3,SH600959,江苏有线
4,SH600626,申达股份
5,SH600664,哈药股份
6,SH603496,恒为科技
7,SH603345,安井食品
8,SH603700,宁水集团
9,SH603662,柯力传感
10,SH601000,唐山港
11,SH603676,卫信康
12,SH603007,花王股份
13,SH600506,香梨股份
14,SH600961,株冶集团
15,SH600874,创业环保
16,SH600968,海油发展
17,SH600336,澳柯玛
18,SH603665,康隆达
19,SH600775,XD南京熊
20,SH601016,节能风电
21,SH600348,阳泉煤业
22,SH601116,三江购物
23,SH600846,同济科技
24,SH600378,昊华科技
25,SH603599,广信股份
26,SH600794,保税科技
27,SH603351,威尔药业
28,SH600328,中盐化工
29,SH600736,苏州高新
30,SH603826,坤彩科技
31,SH603309,维力医疗
32,SH603912,佳力图
33,SH603023,威帝股份
34,SH603385,惠达卫浴
35,SH603508,思维列控
36,SH603515,欧普照明
37,SH600419,天润乳业
38,SH600649,城投控股
39,SH603221,爱丽家居
40,SH600731,湖南海利
41,SH600285,羚锐制药
42,SH603995,甬金股份
43,SH603367,辰欣药业
44,SH600125,铁龙物流
45,SH603123,翠微股份
46,SH600976,健民集团
47,SH600810,神马股份
48,SH600558,大西洋
49,SH600866,星湖科技
50,SH600277,亿利洁能
51,SH603726,朗迪集团
52,SH600172,黄河旋风
53,SH603333,尚纬股份
54,SH601388,怡球资源
55,SH603602,纵横通信
56,SH603319,湘油泵
57,SH603810,丰山集团
58,SH600500,中化国际
59,SH600039,四川路桥
60,SH603390,通达电气
61,SH600928,西安银行
62,SH600158,中体产业
63,SH603348,文灿股份
64,SH603133,碳元科技
65,SH603855,华荣股份
66,SH601999,出版传媒
67,SH601005,重庆钢铁
68,SH600218,全柴动力
69,SH600876,洛阳玻璃
70,SH600740,山西焦化
71,SH603797,联泰环保
72,SH600256,广汇能源
73,SH600533,栖霞建设
74,SH600151,航天机电
75,SH603279,景津环保
76,SH600612,老凤祥
77,SH603595,东尼电子
78,SH601611,XD中国核
79,SH603757,大元泵业
80,SH603876,鼎胜新材
81,SH603776,永安行
82,SH600416,*ST湘电
83,SH603968,醋化股份
84,SH603220,中贝通信
85,SH600592,龙溪股份
86,SH600006,东风汽车
87,SH603803,瑞斯康达
88,SH603959,百利科技
89,SH600476,湘邮科技
0,SH603937,丽岛新材
1,SH601515,东风股份
2,SH600266,城建发展
3,SH603136,天目湖
4,SH601139,深圳燃气
5,SH600995,文山电力
6,SH603766,隆鑫通用
7,SH600396,金山股份
8,SH603208,江山欧派
9,SH605001,威奥股份
10,SH600742,一汽富维
11,SH600130,波导股份
12,SH603616,韩建河山
13,SH600490,鹏欣资源
14,SH603991,至正股份
15,SH603915,国茂股份
16,SH603486,科沃斯
17,SH601866,中远海发
18,SH603183,建研院
19,SH603787,新日股份
20,SH600217,中再资环
21,SH601801,皖新传媒
22,SH603701,德宏股份
23,SH603042,华脉科技
24,SH600674,川投能源
25,SH600461,洪城水业
26,SH603037,凯众股份
27,SH600376,首开股份
28,SH600071,凤凰光学
29,SH603066,音飞储存
30,SH603969,银龙股份
31,SH603886,元祖股份
32,SH603300,华铁应急
33,SH600501,航天晨光
34,SH601828,美凯龙
35,SH600717,天津港
36,SH600491,龙元建设
37,SH603095,越剑智能
38,SH600488,天药股份
39,SH600021,上海电力
40,SH603970,中农立华
41,SH600284,浦东建设
42,SH600308,华泰股份
43,SH600688,上海石化
44,SH603396,金辰股份
45,SH600337,美克家居
46,SH601098,中南传媒
47,SH600388,龙净环保
48,SH603663,三祥新材
49,SH600525,长园集团
50,SH601900,南方传媒
51,SH600345,长江通信
52,SH600973,宝胜股份
53,SH600565,迪马股份
54,SH603536,惠发食品
55,SH600828,茂业商业
56,SH603379,三美股份
57,SH603416,信捷电气
58,SH603579,荣泰健康
59,SH600133,东湖高新
60,SH603010,万盛股份
61,SH600965,福成股份
62,SH603008,喜临门
63,SH601598,中国外运
64,SH603997,继峰股份
65,SH603477,振静股份
66,SH600803,新奥股份
67,SH600229,城市传媒
68,SH600113,浙江东日
69,SH600933,爱柯迪
70,SH603666,亿嘉和
71,SH600582,天地科技
72,SH603357,设计总院
73,SH600479,千金药业
74,SH603180,金牌厨柜
75,SH600448,华纺股份
76,SH600881,亚泰集团
77,SH600692,亚通股份
78,SH600361,华联综超
79,SH600602,云赛智联
80,SH600452,涪陵电力
81,SH603629,利通电子
82,SH600979,广安爱众
83,SH603366,日出东方
84,SH600307,酒钢宏兴
85,SH600642,申能股份
86,SH600520,文一科技
87,SH603977,国泰集团
88,SH603256,宏和科技
89,SH603896,寿仙谷
0,SH600997,开滦股份
1,SH600715,文投控股
2,SH600865,百大集团
3,SH603129,春风动力
4,SH603067,振华股份
5,SH603214,爱婴室
6,SH600398,海澜之家
7,SH600807,济南高新
8,SH603277,银都股份
9,SH603353,和顺石油
10,SH600746,江苏索普
11,SH600387,海越能源
12,SH603056,德邦股份
13,SH601965,中国汽研
14,SH603611,诺力股份
15,SH603013,亚普股份
16,SH600651,*ST飞乐
17,SH603786,科博达
18,SH600377,宁沪高速
19,SH603179,新泉股份
20,SH603948,建业股份
21,SH603181,皇马科技
22,SH603679,华体科技
23,SH603053,XD成都燃
24,SH600787,中储股份
25,SH601929,吉视传媒
26,SH600636,国新文化
27,SH600835,XD上海机
28,SH603843,正平股份
29,SH600136,当代文体
30,SH600331,宏达股份
31,SH603755,日辰股份
32,SH603031,安德利
33,SH603055,台华新材
34,SH601677,明泰铝业
35,SH600996,贵广网络
36,SH600708,光明地产
37,SH600575,淮河能源
38,SH603917,合力科技
39,SH603009,北特科技
40,SH600766,园城黄金
41,SH603687,大胜达
42,SH603639,海利尔
43,SH600693,东百集团
44,SH603032,德新交运
45,SH600710,苏美达
46,SH600123,兰花科创
47,SH600545,卓郎智能
48,SH600119,ST长投
49,SH600184,光电股份
50,SH603610,麒盛科技
51,SH600117,西宁特钢
52,SH600616,金枫酒业
53,SH600694,大商股份
54,SH603978,深圳新星
55,SH600590,泰豪科技
56,SH603326,我乐家居
57,SH600630,龙头股份
58,SH601616,广电电气
59,SH600639,浦东金桥
60,SH600187,国中水务
61,SH603222,济民制药
62,SH600249,两面针
63,SH601969,海南矿业
64,SH600730,中国高科
65,SH603557,起步股份
66,SH603002,宏昌电子
67,SH600962,国投中鲁
68,SH603730,岱美股份
69,SH600148,长春一东
70,SH603897,长城科技
71,SH600439,瑞贝卡
72,SH603088,宁波精达
73,SH600433,冠豪高新
74,SH603729,龙韵股份
75,SH603355,莱克电气
76,SH600281,太化股份
77,SH603238,诺邦股份
78,SH603788,宁波高发
79,SH600713,南京医药
80,SH600023,浙能电力
81,SH600495,晋西车轴
82,SH601228,广州港
83,SH600971,恒源煤电
84,SH600186,莲花健康
85,SH600560,金自天正
86,SH600278,东方创业
87,SH600295,鄂尔多斯
88,SH601003,柳钢股份
89,SH600303,曙光股份
0,SH603956,威派格
1,SH600773,西藏城投
2,SH600697,欧亚集团
3,SH603868,飞科电器
4,SH600078,澄星股份
5,SH600618,氯碱化工
6,SH600611,大众交通
7,SH603619,中曼石油
8,SH603706,东方环宇
9,SH603021,山东华鹏
10,SH600339,中油工程
11,SH603773,沃格光电
12,SH603823,百合花
13,SH601126,四方股份
14,SH603600,永艺股份
15,SH600757,长江传媒
16,SH600146,*ST环球
17,SH603758,秦安股份
18,SH600235,民丰特纸
19,SH603187,海容冷链
20,SH600638,新黄浦
21,SH600623,华谊集团
22,SH603329,上海雅仕
23,SH603298,杭叉集团
24,SH601086,国芳集团
25,SH601127,小康股份
26,SH603979,金诚信
27,SH601898,中煤能源
28,SH601015,陕西黑猫
29,SH600726,华电能源
30,SH600890,中房股份
31,SH603869,新智认知
32,SH601928,凤凰传媒
33,SH603356,华菱精工
34,SH601008,连云港
35,SH603421,鼎信通讯
36,SH603058,永吉股份
37,SH600458,时代新材
38,SH600261,阳光照明
39,SH600288,大恒科技
40,SH600293,三峡新材
41,SH603060,国检集团
42,SH603587,地素时尚
